ZIPCode,PropertyID
78002,188204
78023,1191529
78069,347358
78073,1088326
78101,1184649
78109,321649
78112,1127116
78148,1214508
78150,990501
78152,810105
78201,924310
78202,385221
78203,135516
78204,373694
78205,1225874
78206,1205910
78207,137559
78208,113534
78209,171197
78210,138364
78211,404828
78212,431031
78213,470234
78214,949673
78215,1253992
78216,1296761
78217,541977
78218,813101
78220,514826
78221,1172181
78224,1142340
78225,404384
78226,480959
78227,580920
78229,524582
78230,1275766
78231,679406
78232,626823
78234,501882
78235,1209374
78236,1205774
78237,424815
78241,782410
78242,573955
78243,420634
78246,782465
78247,624600
78248,698595
78250,713981
78251,741804
78252,1193754
78253,1099424
78259,1093901
78260,264116
78262,855148
78264,1101656
78269,1068846
78270,782703
78275,782756
78278,782789
78279,1299912
78283,1255350
78284,1127034
78285,782853
78286,782868
78287,782875
78288,1224526
78289,782897
78292,782927
78295,782952
78298,782983
78299,1221523
